Repo Name
Cog-Creators/Red-DiscordBot
DataDog/integrations-core
ESMCI/cime
JohnSnowLabs/spark-nlp
Lightning-AI/lightning
MDAnalysis/mdanalysis
NVIDIA/spark-rapids
NixOS/nixpkgs
OpenMDAO/OpenMDAO
PrefectHQ/prefect
Project-MONAI/MONAI
PyTorchLightning/pytorch-lightning
Qiskit/qiskit
Qiskit/qiskit-terra
Tribler/tribler
alteryx/evalml
ansible-collections/community.general
ansible/ansible
apache/airflow
apache/mxnet
biolab/orange3
bokeh/bokeh
celery/celery
conan-io/conan
conda/conda
dagster-io/dagster
darkreader/darkreader
dask/dask
dask/distributed
datalad/datalad
docker/compose
elastic/beats
envoyproxy/envoy
equinor/ert
explosion/spaCy
fossasia/open-event-server
freedomofpress/securedrop
gitpython-developers/GitPython
google/jax
googleapis/google-cloud-python
huggingface/transformers
idaholab/raven
internetarchive/openlibrary
ipython/ipython
iterative/dvc
jupyterlab/jupyterlab
kubeflow/pipelines
learningequality/kolibri
mantidproject/mantid
mars-project/mars
matrix-org/synapse
mesonbuild/meson
mne-tools/mne-python
modin-project/modin
mozilla/addons-server
napari/napari
numba/numba
numpy/numpy
nvaccess/nvda
open-mmlab/mmdetection
oppia/oppia
pandas-dev/pandas
pantsbuild/pants
pola-rs/polars
pyca/cryptography
pypa/pip
python-pillow/Pillow
python/mypy
python/python-docs-es
python/typeshed
qgis/QGIS
qgis/QGIS-Documentation
rapidsai/cudf
ray-project/ray
rotki/rotki
rucio/rucio
rust-lang/rust
saltstack/salt
scipy/scipy
silx-kit/silx
simple-icons/simple-icons
spacetelescope/jwst
spack/spack
spulec/moto
spyder-ide/spyder
sqlfluff/sqlfluff
statsmodels/statsmodels
tensorflow/models
tiangolo/fastapi
twisted/twisted
wagtail/wagtail
wazuh/wazuh
ytdl-org/youtube-dl
